Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;MERCURY_2.4G_9D5F;50:BD:5F:BE:9D:5F;;6;No;WPA2,WPA,AES-CCM;No;54.0;0;7;0;0;0;0;0;;;Wed Oct 25 02:21:05 2017;Wed Oct 25 02:22:24 2017;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Lawliet;70:AF:6A:86:3A:D3;;2;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Wed Oct 25 02:20:31 2017;Wed Oct 25 02:21:43 2017;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;311;24:FD:52:43:71:8F;;10;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Wed Oct 25 02:21:25 2017;Wed Oct 25 02:21:39 2017;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;ggg;EA:B1:FC:A6:71:A6;;11;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Wed Oct 25 02:21:40 2017;Wed Oct 25 02:21:40 2017;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Tenda;C8:3A:35:2F:DC:00;;9;No;WPA,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Wed Oct 25 02:20:33 2017;Wed Oct 25 02:21:31 2017;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;5566123;0E:8B:FD:F3:90:03;;11;No;WPA2,AES-CCM;No;54.0;0;0;0;0;0;0;0;;;Wed Oct 25 02:20:57 2017;Wed Oct 25 02:21:26 2017;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;PS4-56F0C4851C36;60:5B:B4:F7:3A:FD;;2;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Wed Oct 25 02:20:31 2017;Wed Oct 25 02:21:36 2017;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Jinganghuluwa;70:4D:7B:D4:D5:20;;13;No;WPA2,AES-CCM;No;54.0;0;7;0;0;0;0;0;;;Wed Oct 25 02:20:31 2017;Wed Oct 25 02:21:57 2017;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;å°.å°.;20:76:93:23:9F:6C;;13;No;WPA2,AES-CCM;No;54.0;0;11;0;1;0;0;1;;;Wed Oct 25 02:20:31 2017;Wed Oct 25 02:21:57 2017;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;611;20:F4:1B:8C:66:D0;;2;No;WPA2,AES-CCM,TKIP;No;54.0;0;34;0;539;0;0;539;;;Wed Oct 25 02:20:30 2017;Wed Oct 25 02:22:20 2017;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
